"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.55","69.40","68.47","68.92","RMA"
"Canadian Dollar (CAD)","CAD","68.75","70.70","69.68","70.17","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.92","15.03","RMA"
"OEuro (EURO)","EUR","110.05","113.10","111.55","112.31","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.40","12.24","12.33","RMA"
"Japanese Yen 100 (JPY)","JPY","59.55","61.20","60.34","60.77","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.37","10.44","RMA"
"Pound Sterling (GBP)","GBP","127.25","130.80","128.97","129.85","RMA"
"Singapore Dollar (SGD)","SGD","74.00","76.10","75.02","75.56","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.27","10.34","RMA"
"Swiss Franc (CHF)","CHF","120.35","123.75","121.99","122.88","RMA"
"US Dollar (USD)","USD","94.75","97.65","95.93","96.59","RMA"
