"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.65","58.20","57.4","57.77","RMA"
"Canadian Dollar","CAD","62.20","63.95","63.06","63.51","RMA"
"Danish Kroner","DKK","-","-","13.74","13.84","RMA"
"OEuro","EUR","101.30","104.10","102.66","103.35","RMA"
"Hongkong Dollar","HKD","11.30","11.60","11.43","11.51","RMA"
"Japanese Yen 100","JPY","56.05","57.60","56.79","57.19","RMA"
"Norwegian Kroner","NOK","-","-","8.68","8.75","RMA"
"Pound Sterling","GBP","115.00","118.20","116.54","117.34","RMA"
"Singapore Dollar","SGD","67.25","69.15","68.17","68.67","RMA"
"Swedish Kroner","SEK","-","-","9.33","9.39","RMA"
"Swiss Franc","CHF","108.75","111.85","110.25","111.06","RMA"
"US Dollar","USD","87.90","90.65","89.0","89.62","RMA"
