"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.25","68.10","67.16","67.6","RMA"
"Canadian Dollar (CAD)","CAD","67.25","69.15","68.17","68.66","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.8","RMA"
"OEuro (EURO)","EUR","108.40","111.40","109.86","110.62","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.12","12.2","RMA"
"Japanese Yen 100 (JPY)","JPY","59.05","60.70","59.83","60.26","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.98","10.07","RMA"
"Pound Sterling (GBP)","GBP","126.60","130.10","128.3","129.16","RMA"
"Singapore Dollar (SGD)","SGD","73.30","75.40","74.31","74.85","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.09","RMA"
"Swiss Franc (CHF)","CHF","16.00","119.30","117.56","118.43","RMA"
"US Dollar (USD)","USD","93.90","96.80","95.07","95.73","RMA"
