"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.85","67.65","66.72","67.16","RMA"
"Canadian Dollar (CAD)","CAD","67.20","69.10","68.13","68.61","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.64","14.74","RMA"
"OEuro (EURO)","EUR","107.95","110.95","109.42","110.17","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.40","12.24","12.33","RMA"
"Japanese Yen 100 (JPY)","JPY","58.40","60.00","59.17","59.6","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.87","9.94","RMA"
"Pound Sterling (GBP)","GBP","126.70","130.20","128.42","129.28","RMA"
"Singapore Dollar (SGD)","SGD","73.25","75.30","74.23","74.78","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.98","RMA"
"Swiss Franc (CHF)","CHF","116.60","119.90","118.17","119.04","RMA"
"US Dollar (USD)","USD","94.80","97.70","95.97","96.63","RMA"
