"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.75","68.60","67.67","68.12","RMA"
"Canadian Dollar (CAD)","CAD","68.35","70.30","69.28","69.79","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.82","14.92","RMA"
"OEuro (EURO)","EUR","109.25","112.25","110.72","111.47","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.09","12.17","RMA"
"Japanese Yen 100 (JPY)","JPY","58.65","60.25","59.42","59.84","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.14","10.21","RMA"
"Pound Sterling (GBP)","GBP","126.15","129.60","127.85","128.7","RMA"
"Singapore Dollar (SGD)","SGD","73.10","75.20","74.08","74.64","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.21","10.28","RMA"
"Swiss Franc (CHF)","CHF","118.60","122.00","120.22","121.11","RMA"
"US Dollar (USD)","USD","93.50","96.40","94.68","95.34","RMA"
