"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.00","67.80","66.87","67.33","RMA"
"Canadian Dollar (CAD)","CAD","66.95","68.85","67.86","68.33","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.71","14.81","RMA"
"OEuro (EURO)","EUR","108.45","111.45","109.92","110.67","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.11","12.19","RMA"
"Japanese Yen 100 (JPY)","JPY","58.50","60.15","59.28","59.7","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.95","10.02","RMA"
"Pound Sterling (GBP)","GBP","125.65","129.15","127.35","128.22","RMA"
"Singapore Dollar (SGD)","SGD","72.95","75.00","73.94","74.48","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.08","10.15","RMA"
"Swiss Franc (CHF)","CHF","117.70","121.00","119.27","120.13","RMA"
"US Dollar (USD)","USD","93.70","96.60","94.88","95.54","RMA"
