"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.15","66.95","66.01","66.46","RMA"
"Canadian Dollar (CAD)","CAD","66.20","68.05","67.1","67.59","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.55","14.65","RMA"
"OEuro (EURO)","EUR","107.30","110.30","108.77","109.51","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.14","12.23","RMA"
"Japanese Yen 100 (JPY)","JPY","57.80","59.40","58.59","59.0","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.75","9.82","RMA"
"Pound Sterling (GBP)","GBP","125.90","129.40","127.62","128.45","RMA"
"Singapore Dollar (SGD)","SGD","72.60","74.65","73.59","74.12","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.83","9.9","RMA"
"Swiss Franc (CHF)","CHF","116.35","119.60","117.9","118.76","RMA"
"US Dollar (USD)","USD","94.00","96.90","95.16","95.82","RMA"
