"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.65","59.25","58.44","58.83","RMA"
"Canadian Dollar","CAD","62.60","64.35","63.46","63.91","RMA"
"Danish Kroner","DKK","-","-","13.84","13.94","RMA"
"OEuro","EUR","101.95","104.80","103.34","104.04","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","58.10","59.75","58.89","59.32","RMA"
"Norwegian Kroner","NOK","-","-","8.89","8.95","RMA"
"Pound Sterling","GBP","117.45","120.65","119.03","119.79","RMA"
"Singapore Dollar","SGD","67.50","69.45","68.42","68.94","RMA"
"Swedish Kroner","SEK","-","-","9.41","9.47","RMA"
"Swiss Franc","CHF","109.35","112.50","110.85","111.67","RMA"
"US Dollar","USD","87.45","90.20","88.57","89.18","RMA"
