"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.75","68.60","67.64","68.09","RMA"
"Canadian Dollar (CAD)","CAD","67.95","69.85","68.86","69.35","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.83","14.93","RMA"
"OEuro (EURO)","EUR","109.40","112.45","110.87","111.63","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.25","60.90","60.05","60.47","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.17","10.24","RMA"
"Pound Sterling (GBP)","GBP","127.80","131.35","129.52","130.39","RMA"
"Singapore Dollar (SGD)","SGD","73.85","75.90","74.84","75.37","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.05","10.12","RMA"
"Swiss Franc (CHF)","CHF","116.30","119.60","117.9","118.73","RMA"
"US Dollar (USD)","USD","94.35","97.25","95.52","96.18","RMA"
