"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.50","59.10","58.29","58.67","RMA"
"Canadian Dollar","CAD","62.70","64.45","63.54","64.0","RMA"
"Danish Kroner","DKK","-","-","13.81","13.91","RMA"
"OEuro","EUR","101.75","104.55","103.12","103.82","RMA"
"Hongkong Dollar","HKD","11.20","11.50","11.33","11.41","RMA"
"Japanese Yen 100","JPY","58.85","60.50","59.62","60.06","RMA"
"Norwegian Kroner","NOK","-","-","8.89","8.95","RMA"
"Pound Sterling","GBP","117.55","120.80","119.13","119.95","RMA"
"Singapore Dollar","SGD","67.75","69.65","68.65","69.16","RMA"
"Swedish Kroner","SEK","-","-","9.41","9.49","RMA"
"Swiss Franc","CHF","108.85","111.95","110.34","111.17","RMA"
"US Dollar","USD","87.15","89.85","88.23","88.85","RMA"
