"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.50","69.40","68.42","68.88","RMA"
"Canadian Dollar (CAD)","CAD","68.00","69.90","68.9","69.4","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.84","14.94","RMA"
"OEuro (EURO)","EUR","109.40","112.45","110.89","111.63","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.75","60.17","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.29","10.37","RMA"
"Pound Sterling (GBP)","GBP","126.70","130.20","128.4","129.27","RMA"
"Singapore Dollar (SGD)","SGD","73.50","75.55","74.47","75.0","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.2","10.27","RMA"
"Swiss Franc (CHF)","CHF","119.30","122.65","120.92","121.78","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.48","96.14","RMA"
