"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.50","66.25","65.36","65.79","RMA"
"Canadian Dollar (CAD)","CAD","67.05","68.95","67.97","68.45","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.56","14.66","RMA"
"OEuro (EURO)","EUR","107.35","110.30","108.78","109.51","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.15","11.99","12.07","RMA"
"Japanese Yen 100 (JPY)","JPY","58.20","59.85","59.0","59.42","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.63","9.7","RMA"
"Pound Sterling (GBP)","GBP","123.95","127.40","125.65","126.48","RMA"
"Singapore Dollar (SGD)","SGD","72.25","74.35","73.25","73.81","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.06","10.13","RMA"
"Swiss Franc (CHF)","CHF","117.10","120.40","118.69","119.56","RMA"
"US Dollar (USD)","USD","92.60","95.45","93.75","94.4","RMA"
