"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.70","58.25","57.48","57.85","RMA"
"Canadian Dollar","CAD","62.50","64.25","63.34","63.8","RMA"
"Danish Kroner","DKK","-","-","13.77","13.87","RMA"
"OEuro","EUR","101.55","104.35","102.9","103.61","RMA"
"Hongkong Dollar","HKD","11.30","11.65","11.47","11.55","RMA"
"Japanese Yen 100","JPY","56.20","57.75","56.95","57.35","RMA"
"Norwegian Kroner","NOK","-","-","8.7","8.76","RMA"
"Pound Sterling","GBP","115.05","118.25","116.62","117.41","RMA"
"Singapore Dollar","SGD","67.35","69.25","68.25","68.74","RMA"
"Swedish Kroner","SEK","-","-","9.32","9.39","RMA"
"Swiss Franc","CHF","109.35","112.45","110.81","111.64","RMA"
"US Dollar","USD","88.15","90.90","89.28","89.9","RMA"
