"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.10","68.95","68.01","68.44","RMA"
"Canadian Dollar (CAD)","CAD","67.45","69.35","68.34","68.84","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.73","14.84","RMA"
"OEuro (EURO)","EUR","108.65","111.70","110.14","110.89","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.11","12.2","RMA"
"Japanese Yen 100 (JPY)","JPY","58.65","60.30","59.43","59.85","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.15","10.23","RMA"
"Pound Sterling (GBP)","GBP","126.90","130.40","128.61","129.45","RMA"
"Singapore Dollar (SGD)","SGD","73.60","75.65","74.59","75.11","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.9","9.97","RMA"
"Swiss Franc (CHF)","CHF","115.80","119.10","117.39","118.26","RMA"
"US Dollar (USD)","USD","93.75","96.65","94.93","95.59","RMA"
