"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.70","58.25","57.46","57.85","RMA"
"Canadian Dollar","CAD","62.20","63.95","63.02","63.48","RMA"
"Danish Kroner","DKK","-","-","13.74","13.84","RMA"
"OEuro","EUR","101.25","104.10","102.63","103.34","RMA"
"Hongkong Dollar","HKD","11.30","11.60","11.44","11.52","RMA"
"Japanese Yen 100","JPY","56.15","57.75","56.93","57.33","RMA"
"Norwegian Kroner","NOK","-","-","8.69","8.75","RMA"
"Pound Sterling","GBP","115.30","118.50","116.88","117.66","RMA"
"Singapore Dollar","SGD","67.40","69.30","68.31","68.81","RMA"
"Swedish Kroner","SEK","-","-","9.3","9.37","RMA"
"Swiss Franc","CHF","108.40","111.50","109.87","110.69","RMA"
"US Dollar","USD","87.90","90.60","88.98","89.6","RMA"
