"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.60","61.25","60.42","60.82","RMA"
"Canadian Dollar (CAD)","CAD","64.45","66.25","65.31","65.78","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.1","14.2","RMA"
"OEuro (EURO)","EUR","103.95","106.85","105.34","106.07","RMA"
"Hongkong Dollar (HKD)","HKD","11.40","11.70","11.55","11.63","RMA"
"Japanese Yen 100 (JPY)","JPY","56.75","58.35","57.51","57.91","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.98","9.04","RMA"
"Pound Sterling (GBP)","GBP","120.10","123.45","121.75","122.58","RMA"
"Singapore Dollar (SGD)","SGD","69.35","71.30","70.26","70.8","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.78","9.85","RMA"
"Swiss Franc (CHF)","CHF","111.90","115.10","113.43","114.29","RMA"
"US Dollar (USD)","USD","88.80","91.60","89.94","90.57","RMA"
