"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.70","67.50","66.57","67.02","RMA"
"Canadian Dollar (CAD)","CAD","67.05","68.90","67.94","68.43","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.64","14.74","RMA"
"OEuro (EURO)","EUR","108.00","111.00","109.44","110.18","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.17","12.25","RMA"
"Japanese Yen 100 (JPY)","JPY","57.65","59.30","58.45","58.86","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.97","10.05","RMA"
"Pound Sterling (GBP)","GBP","126.00","129.50","127.72","128.56","RMA"
"Singapore Dollar (SGD)","SGD","73.05","75.10","74.02","74.56","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.92","9.99","RMA"
"Swiss Franc (CHF)","CHF","115.65","118.90","117.23","118.07","RMA"
"US Dollar (USD)","USD","94.25","97.20","95.45","96.11","RMA"
