"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.10","60.70","59.91","60.28","RMA"
"Canadian Dollar","CAD","64.50","66.35","65.39","65.85","RMA"
"Danish Kroner","DKK","-","-","14.11","14.21","RMA"
"OEuro","EUR","104.05","106.90","105.43","106.15","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.53","11.61","RMA"
"Japanese Yen 100","JPY","56.50","58.10","57.27","57.68","RMA"
"Norwegian Kroner","NOK","-","-","8.88","8.97","RMA"
"Pound Sterling","GBP","119.35","122.65","120.94","121.75","RMA"
"Singapore Dollar","SGD","68.85","70.80","69.77","70.3","RMA"
"Swedish Kroner","SEK","-","-","9.72","9.83","RMA"
"Swiss Franc","CHF","111.70","114.90","113.23","114.07","RMA"
"US Dollar","USD","88.65","91.40","89.75","90.38","RMA"
