"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.95","59.55","58.71","59.11","RMA"
"Canadian Dollar","CAD","63.15","64.90","64.0","64.45","RMA"
"Danish Kroner","DKK","-","-","13.94","14.03","RMA"
"OEuro","EUR","102.70","105.55","104.11","104.8","RMA"
"Hongkong Dollar","HKD","11.35","11.70","11.51","11.59","RMA"
"Japanese Yen 100","JPY","56.70","58.30","57.49","57.89","RMA"
"Norwegian Kroner","NOK","-","-","8.83","8.9","RMA"
"Pound Sterling","GBP","116.85","120.10","118.45","119.24","RMA"
"Singapore Dollar","SGD","68.15","70.10","69.1","69.6","RMA"
"Swedish Kroner","SEK","-","-","9.48","9.55","RMA"
"Swiss Franc","CHF","110.00","113.10","111.47","112.28","RMA"
"US Dollar","USD","88.55","91.30","89.65","90.28","RMA"
