"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.25","66.00","65.11","65.55","RMA"
"Canadian Dollar (CAD)","CAD","67.25","69.15","68.17","68.67","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.42","14.53","RMA"
"OEuro (EURO)","EUR","106.35","109.30","107.77","108.51","RMA"
"Hongkong Dollar (HKD)","HKD","11.80","12.15","11.97","12.06","RMA"
"Japanese Yen 100 (JPY)","JPY","57.95","59.60","58.75","59.18","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.64","9.71","RMA"
"Pound Sterling (GBP)","GBP","122.75","126.15","124.41","125.27","RMA"
"Singapore Dollar (SGD)","SGD","71.95","74.00","72.91","73.46","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.98","RMA"
"Swiss Franc (CHF)","CHF","116.60","119.90","118.19","119.06","RMA"
"US Dollar (USD)","USD","92.60","95.45","93.74","94.39","RMA"
