"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.80","69.65","68.7","69.16","RMA"
"Canadian Dollar (CAD)","CAD","69.15","71.10","70.09","70.59","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.98","15.08","RMA"
"OEuro (EURO)","EUR","110.45","113.50","111.94","112.69","RMA"
"Hongkong Dollar (HKD)","HKD","12.15","12.50","12.33","12.42","RMA"
"Japanese Yen 100 (JPY)","JPY","59.90","61.60","60.71","61.15","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.39","10.48","RMA"
"Pound Sterling (GBP)","GBP","127.55","131.05","129.27","130.13","RMA"
"Singapore Dollar (SGD)","SGD","74.40","76.50","75.38","75.94","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.26","10.34","RMA"
"Swiss Franc (CHF)","CHF","120.55","123.95","122.17","123.05","RMA"
"US Dollar (USD)","USD","95.40","98.35","96.59","97.26","RMA"
