"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.05","64.75","63.88","64.31","RMA"
"Canadian Dollar (CAD)","CAD","65.55","67.40","66.42","66.91","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.28","14.39","RMA"
"OEuro (EURO)","EUR","105.35","108.30","106.76","107.51","RMA"
"Hongkong Dollar (HKD)","HKD","11.65","11.95","11.8","11.88","RMA"
"Japanese Yen 100 (JPY)","JPY","57.15","58.80","57.94","58.36","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.48","9.56","RMA"
"Pound Sterling (GBP)","GBP","120.75","124.10","122.41","123.23","RMA"
"Singapore Dollar (SGD)","SGD","70.95","73.00","71.9","72.47","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.88","RMA"
"Swiss Franc (CHF)","CHF","114.25","117.55","115.81","116.73","RMA"
"US Dollar (USD)","USD","91.30","94.20","92.47","93.14","RMA"
