"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.60","68.45","67.5","67.95","RMA"
"Canadian Dollar (CAD)","CAD","67.05","68.95","67.98","68.46","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.67","14.77","RMA"
"OEuro (EURO)","EUR","108.15","111.20","109.64","110.39","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.08","12.16","RMA"
"Japanese Yen 100 (JPY)","JPY","58.45","60.10","59.26","59.68","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.14","10.21","RMA"
"Pound Sterling (GBP)","GBP","126.05","129.55","127.77","128.64","RMA"
"Singapore Dollar (SGD)","SGD","73.35","75.45","74.36","74.89","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc (CHF)","CHF","114.65","117.90","116.21","117.07","RMA"
"US Dollar (USD)","USD","93.55","96.45","94.74","95.4","RMA"
