"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.80","68.60","67.69","68.12","RMA"
"Canadian Dollar (CAD)","CAD","67.40","69.30","68.29","68.78","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.8","RMA"
"OEuro (EURO)","EUR","108.35","111.35","109.82","110.57","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.08","12.16","RMA"
"Japanese Yen 100 (JPY)","JPY","58.40","60.05","59.18","59.6","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.15","10.22","RMA"
"Pound Sterling (GBP)","GBP","126.55","130.05","128.26","129.14","RMA"
"Singapore Dollar (SGD)","SGD","73.40","75.45","74.39","74.91","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.88","9.95","RMA"
"Swiss Franc (CHF)","CHF","115.35","118.65","116.93","117.81","RMA"
"US Dollar (USD)","USD","93.55","96.45","94.72","95.38","RMA"
