"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.30","58.90","58.08","58.46","RMA"
"Canadian Dollar","CAD","62.60","64.35","63.44","63.9","RMA"
"Danish Kroner","DKK","-","-","13.79","13.88","RMA"
"OEuro","EUR","101.55","104.40","102.94","103.64","RMA"
"Hongkong Dollar","HKD","11.00","11.45","11.13","11.36","RMA"
"Japanese Yen 100","JPY","58.80","60.45","59.61","60.03","RMA"
"Norwegian Kroner","NOK","-","-","8.85","8.92","RMA"
"Pound Sterling","GBP","117.45","120.70","119.02","119.82","RMA"
"Singapore Dollar","SGD","67.55","69.50","68.49","69.0","RMA"
"Swedish Kroner","SEK","-","-","9.4","9.48","RMA"
"Swiss Franc","CHF","108.80","111.90","110.25","111.12","RMA"
"US Dollar","USD","86.80","89.50","87.88","88.49","RMA"
