"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.20","69.05","68.09","68.55","RMA"
"Canadian Dollar (CAD)","CAD","68.90","70.80","69.82","70.31","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.87","14.97","RMA"
"OEuro (EURO)","EUR","109.65","112.65","111.12","111.87","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.21","RMA"
"Japanese Yen 100 (JPY)","JPY","59.55","61.20","60.34","60.76","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.26","10.33","RMA"
"Pound Sterling (GBP)","GBP","127.00","130.50","128.73","129.58","RMA"
"Singapore Dollar (SGD)","SGD","73.45","75.50","74.42","74.98","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.24","10.32","RMA"
"Swiss Franc (CHF)","CHF","119.70","123.10","121.32","122.2","RMA"
"US Dollar (USD)","USD","93.90","96.80","95.05","95.71","RMA"
