"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.60","67.40","66.49","66.93","RMA"
"Canadian Dollar (CAD)","CAD","66.85","68.75","67.77","68.25","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.63","14.73","RMA"
"OEuro (EURO)","EUR","107.85","110.85","109.32","110.07","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.00","11.84","11.92","RMA"
"Japanese Yen 100 (JPY)","JPY","57.50","59.10","58.28","58.69","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.9","9.97","RMA"
"Pound Sterling (GBP)","GBP","123.80","127.20","125.46","126.3","RMA"
"Singapore Dollar (SGD)","SGD","71.85","73.90","72.84","73.39","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.11","10.18","RMA"
"Swiss Franc (CHF)","CHF","116.85","120.15","118.45","119.3","RMA"
"US Dollar (USD)","USD","91.55","94.40","92.7","93.34","RMA"
