"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.55","65.25","64.39","64.8","RMA"
"Canadian Dollar (CAD)","CAD","66.05","67.90","66.95","67.43","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.22","14.31","RMA"
"OEuro (EURO)","EUR","104.80","107.70","106.23","106.94","RMA"
"Hongkong Dollar (HKD)","HKD","11.55","11.85","11.68","11.76","RMA"
"Japanese Yen 100 (JPY)","JPY","57.35","59.00","58.14","58.56","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.46","9.53","RMA"
"Pound Sterling (GBP)","GBP","120.45","123.75","122.06","122.86","RMA"
"Singapore Dollar (SGD)","SGD","70.60","72.65","71.58","72.13","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.93","10.01","RMA"
"Swiss Franc (CHF)","CHF","115.70","119.00","117.27","118.16","RMA"
"US Dollar (USD)","USD","90.25","93.05","91.38","92.01","RMA"
