"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.20","68.05","67.1","67.55","RMA"
"Canadian Dollar (CAD)","CAD","67.75","69.65","68.67","69.17","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.79","RMA"
"OEuro (EURO)","EUR","108.30","111.35","109.78","110.53","RMA"
"Hongkong Dollar (HKD)","HKD","11.80","12.15","11.98","12.07","RMA"
"Japanese Yen 100 (JPY)","JPY","58.00","59.60","58.76","59.19","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.06","9.52","RMA"
"Pound Sterling (GBP)","GBP","125.05","128.55","126.77","127.61","RMA"
"Singapore Dollar (SGD)","SGD","72.55","74.60","73.51","74.06","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.16","10.24","RMA"
"Swiss Franc (CHF)","CHF","117.95","121.30","119.55","120.42","RMA"
"US Dollar (USD)","USD","92.70","95.60","93.88","94.53","RMA"
