"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.45","68.30","67.36","67.81","RMA"
"Canadian Dollar (CAD)","CAD","67.50","69.40","68.41","68.89","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.67","14.78","RMA"
"OEuro (EURO)","EUR","108.25","111.25","109.71","110.46","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.28","12.37","RMA"
"Japanese Yen 100 (JPY)","JPY","58.05","59.70","58.85","59.27","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.03","10.12","RMA"
"Pound Sterling (GBP)","GBP","126.60","130.10","128.29","129.17","RMA"
"Singapore Dollar (SGD)","SGD","73.60","75.70","74.62","75.14","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.9","9.97","RMA"
"Swiss Franc (CHF)","CHF","116.40","119.65","117.98","118.81","RMA"
"US Dollar (USD)","USD","95.15","98.10","96.33","97.0","RMA"
