"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.10","58.65","57.86","58.22","RMA"
"Canadian Dollar","CAD","62.30","64.05","63.14","63.59","RMA"
"Danish Kroner","DKK","-","-","13.71","13.8","RMA"
"OEuro","EUR","101.00","103.80","102.36","103.07","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","56.65","58.20","57.39","57.79","RMA"
"Norwegian Kroner","NOK","-","-","8.76","8.82","RMA"
"Pound Sterling","GBP","115.00","118.20","116.57","117.34","RMA"
"Singapore Dollar","SGD","67.00","68.90","67.92","68.4","RMA"
"Swedish Kroner","SEK","-","-","9.31","9.38","RMA"
"Swiss Franc","CHF","108.30","111.40","109.77","110.58","RMA"
"US Dollar","USD","87.40","90.10","88.48","89.1","RMA"
