"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.70","67.55","66.6","67.05","RMA"
"Canadian Dollar (CAD)","CAD","66.80","68.70","67.73","68.21","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.52","14.63","RMA"
"OEuro (EURO)","EUR","107.15","110.10","108.59","109.32","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.19","12.28","RMA"
"Japanese Yen 100 (JPY)","JPY","57.55","59.20","58.34","58.75","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.85","9.92","RMA"
"Pound Sterling (GBP)","GBP","125.30","128.75","126.99","127.83","RMA"
"Singapore Dollar (SGD)","SGD","72.90","74.95","73.91","74.43","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.81","9.88","RMA"
"Swiss Franc (CHF)","CHF","115.00","118.25","116.55","117.4","RMA"
"US Dollar (USD)","USD","94.45","97.35","95.61","96.28","RMA"
