"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.25","66.05","65.13","65.56","RMA"
"Canadian Dollar (CAD)","CAD","66.50","68.40","67.4","67.89","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.28","14.38","RMA"
"OEuro (EURO)","EUR","105.30","108.20","106.71","107.4","RMA"
"Hongkong Dollar (HKD)","HKD","11.55","11.85","11.7","11.79","RMA"
"Japanese Yen 100 (JPY)","JPY","57.30","58.90","58.06","58.49","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.54","9.61","RMA"
"Pound Sterling (GBP)","GBP","121.60","124.95","123.23","124.06","RMA"
"Singapore Dollar (SGD)","SGD","71.00","73.00","71.94","72.49","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.04","10.11","RMA"
"Swiss Franc (CHF)","CHF","116.45","119.75","118.04","118.9","RMA"
"US Dollar (USD)","USD","90.45","93.25","91.57","92.21","RMA"
