"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.80","59.40","58.58","58.97","RMA"
"Canadian Dollar","CAD","62.80","64.55","63.64","64.1","RMA"
"Danish Kroner","DKK","-","-","13.94","14.04","RMA"
"OEuro","EUR","102.70","105.55","104.07","104.79","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","59.05","60.75","59.86","60.29","RMA"
"Norwegian Kroner","NOK","-","-","8.87","8.93","RMA"
"Pound Sterling","GBP","117.55","120.75","119.12","119.9","RMA"
"Singapore Dollar","SGD","67.75","69.65","68.67","69.17","RMA"
"Swedish Kroner","SEK","-","-","9.4","9.47","RMA"
"Swiss Franc","CHF","109.60","112.75","111.09","111.93","RMA"
"US Dollar","USD","87.50","90.20","88.57","89.19","RMA"
