"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.75","59.35","58.52","58.9","RMA"
"Canadian Dollar","CAD","62.95","64.75","63.82","64.29","RMA"
"Danish Kroner","DKK","-","-","13.94","14.04","RMA"
"OEuro","EUR","102.70","105.55","104.08","104.79","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.3","11.38","RMA"
"Japanese Yen 100","JPY","58.90","60.55","59.69","60.12","RMA"
"Norwegian Kroner","NOK","-","-","8.97","9.03","RMA"
"Pound Sterling","GBP","118.40","121.70","120.0","120.82","RMA"
"Singapore Dollar","SGD","67.80","69.75","68.73","69.24","RMA"
"Swedish Kroner","SEK","-","-","9.48","9.54","RMA"
"Swiss Franc","CHF","110.05","113.20","111.54","112.41","RMA"
"US Dollar","USD","86.85","89.50","87.92","88.53","RMA"
