"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.35","61.00","60.16","60.56","RMA"
"Canadian Dollar","CAD","64.65","66.50","65.54","66.01","RMA"
"Danish Kroner","DKK","-","-","14.17","14.27","RMA"
"OEuro","EUR","104.40","107.30","105.83","106.55","RMA"
"Hongkong Dollar","HKD","11.45","11.75","11.58","11.66","RMA"
"Japanese Yen 100","JPY","57.10","58.70","57.86","58.27","RMA"
"Norwegian Kroner","NOK","-","-","8.94","9.0","RMA"
"Pound Sterling","GBP","119.10","122.40","120.72","121.52","RMA"
"Singapore Dollar","SGD","68.90","70.85","69.83","70.34","RMA"
"Swedish Kroner","SEK","-","-","9.72","9.79","RMA"
"Swiss Franc","CHF","111.95","115.10","113.46","114.29","RMA"
"US Dollar","USD","89.10","91.85","90.2","90.83","RMA"
