"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.50","66.25","65.35","65.77","RMA"
"Canadian Dollar (CAD)","CAD","66.40","68.25","67.28","67.76","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.2","14.3","RMA"
"OEuro (EURO)","EUR","104.70","107.60","106.1","106.82","RMA"
"Hongkong Dollar (HKD)","HKD","11.60","11.95","11.76","11.84","RMA"
"Japanese Yen 100 (JPY)","JPY","57.10","58.75","57.9","58.31","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.57","9.64","RMA"
"Pound Sterling (GBP)","GBP","121.25","124.60","122.9","123.73","RMA"
"Singapore Dollar (SGD)","SGD","71.15","73.15","72.09","72.64","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.9","9.97","RMA"
"Swiss Franc (CHF)","CHF","115.55","118.80","117.09","117.94","RMA"
"US Dollar (USD)","USD","91.00","93.85","92.15","92.79","RMA"
