"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.30","58.90","58.06","58.46","RMA"
"Canadian Dollar","CAD","62.25","64.00","63.09","63.54","RMA"
"Danish Kroner","DKK","-","-","13.71","13.81","RMA"
"OEuro","EUR","101.05","103.85","102.41","103.12","RMA"
"Hongkong Dollar","HKD","11.15","11.50","11.32","11.4","RMA"
"Japanese Yen 100","JPY","57.00","58.60","57.78","58.19","RMA"
"Norwegian Kroner","NOK","-","-","8.79","8.86","RMA"
"Pound Sterling","GBP","114.75","117.95","116.3","117.11","RMA"
"Singapore Dollar","SGD","67.05","68.95","67.94","68.44","RMA"
"Swedish Kroner","SEK","-","-","9.39","9.46","RMA"
"Swiss Franc","CHF","109.00","112.10","110.45","111.28","RMA"
"US Dollar","USD","86.90","89.60","87.98","88.59","RMA"
