"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.15","68.95","68.05","68.48","RMA"
"Canadian Dollar (CAD)","CAD","67.25","69.15","68.17","68.67","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.65","14.76","RMA"
"OEuro (EURO)","EUR","108.10","111.10","109.54","110.29","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.02","12.11","RMA"
"Japanese Yen 100 (JPY)","JPY","60.20","61.90","61.0","61.44","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.15","10.24","RMA"
"Pound Sterling (GBP)","GBP","125.90","129.40","127.61","128.46","RMA"
"Singapore Dollar (SGD)","SGD","73.45","75.50","74.46","74.98","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.82","9.89","RMA"
"Swiss Franc (CHF)","CHF","114.90","118.20","116.47","117.35","RMA"
"US Dollar (USD)","USD","93.10","96.00","94.26","94.91","RMA"
