"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.55","61.20","60.34","60.74","RMA"
"Canadian Dollar (CAD)","CAD","63.95","65.75","64.82","65.29","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.05","14.15","RMA"
"OEuro (EURO)","EUR","103.60","106.50","105.01","105.74","RMA"
"Hongkong Dollar (HKD)","HKD","11.40","11.70","11.53","11.61","RMA"
"Japanese Yen 100 (JPY)","JPY","55.85","57.45","56.61","57.02","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.92","9.0","RMA"
"Pound Sterling (GBP)","GBP","119.70","123.00","121.3","122.12","RMA"
"Singapore Dollar (SGD)","SGD","68.95","70.90","69.87","70.4","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc (CHF)","CHF","111.25","114.40","112.77","113.58","RMA"
"US Dollar (USD)","USD","88.85","91.60","89.96","90.59","RMA"
