"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.35","58.95","58.14","58.5","RMA"
"Canadian Dollar","CAD","62.95","64.70","63.79","64.25","RMA"
"Danish Kroner","DKK","-","-","13.9","14.0","RMA"
"OEuro","EUR","102.35","105.20","103.74","104.45","RMA"
"Hongkong Dollar","HKD","11.20","11.50","11.34","11.42","RMA"
"Japanese Yen 100","JPY","58.75","60.45","59.57","60.0","RMA"
"Norwegian Kroner","NOK","-","-","8.87","8.94","RMA"
"Pound Sterling","GBP","117.40","120.60","118.99","119.74","RMA"
"Singapore Dollar","SGD","67.70","69.65","68.64","69.15","RMA"
"Swedish Kroner","SEK","-","-","9.38","9.45","RMA"
"Swiss Franc","CHF","109.40","112.50","110.88","111.7","RMA"
"US Dollar","USD","87.00","89.70","88.1","88.71","RMA"
