"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.35","67.15","66.23","66.68","RMA"
"Canadian Dollar (CAD)","CAD","66.55","68.40","67.45","67.93","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.59","14.69","RMA"
"OEuro (EURO)","EUR","107.60","110.60","109.05","109.8","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.17","12.25","RMA"
"Japanese Yen 100 (JPY)","JPY","58.10","59.70","58.88","59.29","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.75","9.82","RMA"
"Pound Sterling (GBP)","GBP","126.05","129.55","127.76","128.61","RMA"
"Singapore Dollar (SGD)","SGD","72.85","74.90","73.83","74.37","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.88","9.95","RMA"
"Swiss Franc (CHF)","CHF","116.30","119.55","117.87","118.71","RMA"
"US Dollar (USD)","USD","94.20","97.15","95.39","96.05","RMA"
