"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.55","61.15","60.33","60.74","RMA"
"Canadian Dollar (CAD)","CAD","63.95","65.75","64.8","65.26","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.06","14.16","RMA"
"OEuro (EURO)","EUR","103.70","106.55","105.08","105.8","RMA"
"Hongkong Dollar (HKD)","HKD","11.40","11.70","11.53","11.62","RMA"
"Japanese Yen 100 (JPY)","JPY","56.20","57.80","56.96","57.37","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.93","9.0","RMA"
"Pound Sterling (GBP)","GBP","119.40","122.70","121.04","121.84","RMA"
"Singapore Dollar (SGD)","SGD","68.95","70.95","69.91","70.43","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc (CHF)","CHF","111.35","114.50","112.84","113.67","RMA"
"US Dollar (USD)","USD","88.85","91.60","89.94","90.57","RMA"
