"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.50","69.40","68.44","68.9","RMA"
"Canadian Dollar (CAD)","CAD","68.10","70.05","69.04","69.54","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.9","15.01","RMA"
"OEuro (EURO)","EUR","109.95","113.00","111.44","112.19","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.19","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.20","60.85","59.99","60.42","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.24","10.32","RMA"
"Pound Sterling (GBP)","GBP","128.50","132.05","130.24","131.12","RMA"
"Singapore Dollar (SGD)","SGD","74.15","76.25","75.18","75.71","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.07","10.14","RMA"
"Swiss Franc (CHF)","CHF","117.45","120.80","119.05","119.92","RMA"
"US Dollar (USD)","USD","94.35","97.25","95.52","96.18","RMA"
