"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.35","69.20","68.26","68.71","RMA"
"Canadian Dollar (CAD)","CAD","67.80","69.70","68.71","69.2","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.78","14.88","RMA"
"OEuro (EURO)","EUR","109.00","112.00","110.49","111.19","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.40","12.2","12.29","RMA"
"Japanese Yen 100 (JPY)","JPY","60.90","62.60","61.71","62.14","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.23","10.31","RMA"
"Pound Sterling (GBP)","GBP","127.20","130.70","128.94","129.76","RMA"
"Singapore Dollar (SGD)","SGD","74.15","76.25","75.17","75.7","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.78","9.84","RMA"
"Swiss Franc (CHF)","CHF","115.25","118.50","116.82","117.66","RMA"
"US Dollar (USD)","USD","94.55","97.45","95.72","96.39","RMA"
