"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.45","69.30","68.36","68.82","RMA"
"Canadian Dollar (CAD)","CAD","68.50","70.45","69.44","69.92","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.94","15.05","RMA"
"OEuro (EURO)","EUR","110.20","113.25","111.71","112.46","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.26","RMA"
"Japanese Yen 100 (JPY)","JPY","59.40","61.05","60.19","60.62","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.27","10.34","RMA"
"Pound Sterling (GBP)","GBP","128.60","132.20","130.36","131.25","RMA"
"Singapore Dollar (SGD)","SGD","74.25","76.30","75.23","75.76","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.09","10.16","RMA"
"Swiss Franc (CHF)","CHF","117.80","121.15","119.41","120.27","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.47","96.13","RMA"
