"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.00","58.55","57.76","58.14","RMA"
"Canadian Dollar","CAD","62.60","64.35","63.42","63.87","RMA"
"Danish Kroner","DKK","-","-","13.84","13.94","RMA"
"OEuro","EUR","101.95","104.80","103.33","104.03","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","58.30","59.90","59.07","59.48","RMA"
"Norwegian Kroner","NOK","-","-","8.81","8.88","RMA"
"Pound Sterling","GBP","116.60","119.80","118.16","118.95","RMA"
"Singapore Dollar","SGD","67.50","69.40","68.4","68.91","RMA"
"Swedish Kroner","SEK","-","-","9.34","9.41","RMA"
"Swiss Franc","CHF","109.15","112.25","110.63","111.46","RMA"
"US Dollar","USD","87.40","90.10","88.48","89.1","RMA"
