"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.40","58.95","58.16","58.55","RMA"
"Canadian Dollar","CAD","62.60","64.40","63.47","63.92","RMA"
"Danish Kroner","DKK","-","-","13.78","13.88","RMA"
"OEuro","EUR","101.50","104.35","102.89","103.6","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","57.15","58.75","57.93","58.34","RMA"
"Norwegian Kroner","NOK","-","-","8.86","8.93","RMA"
"Pound Sterling","GBP","117.20","120.45","118.79","119.58","RMA"
"Singapore Dollar","SGD","67.40","69.30","68.3","68.81","RMA"
"Swedish Kroner","SEK","-","-","9.39","9.46","RMA"
"Swiss Franc","CHF","109.10","112.20","110.56","111.39","RMA"
"US Dollar","USD","87.45","90.20","88.56","89.18","RMA"
