"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.40","68.20","67.28","67.74","RMA"
"Canadian Dollar (CAD)","CAD","67.55","69.45","68.44","68.93","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.74","14.84","RMA"
"OEuro (EURO)","EUR","108.75","111.75","110.2","110.96","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.26","12.34","RMA"
"Japanese Yen 100 (JPY)","JPY","58.45","60.10","59.26","59.68","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.95","10.02","RMA"
"Pound Sterling (GBP)","GBP","128.10","131.65","129.84","130.71","RMA"
"Singapore Dollar (SGD)","SGD","73.55","75.65","74.55","75.1","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.0","10.07","RMA"
"Swiss Franc (CHF)","CHF","117.45","120.75","119.04","119.91","RMA"
"US Dollar (USD)","USD","94.90","97.85","96.11","96.78","RMA"
