"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.80","66.60","65.7","66.15","RMA"
"Canadian Dollar (CAD)","CAD","66.70","68.60","67.62","68.12","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.25","14.35","RMA"
"OEuro (EURO)","EUR","105.10","107.95","106.51","107.2","RMA"
"Hongkong Dollar (HKD)","HKD","11.55","11.90","11.73","11.81","RMA"
"Japanese Yen 100 (JPY)","JPY","57.15","58.80","57.95","58.36","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.53","9.6","RMA"
"Pound Sterling (GBP)","GBP","121.60","124.95","123.24","124.08","RMA"
"Singapore Dollar (SGD)","SGD","71.15","73.15","72.09","72.65","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.99","10.06","RMA"
"Swiss Franc (CHF)","CHF","116.35","119.65","117.94","118.81","RMA"
"US Dollar (USD)","USD","90.65","93.45","91.79","92.43","RMA"
