"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.20","65.95","65.09","65.5","RMA"
"Canadian Dollar (CAD)","CAD","65.60","67.40","66.46","66.93","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.39","14.49","RMA"
"OEuro (EURO)","EUR","106.10","109.05","107.55","108.29","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.03","12.11","RMA"
"Japanese Yen 100 (JPY)","JPY","57.50","59.10","58.25","58.66","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.5","9.56","RMA"
"Pound Sterling (GBP)","GBP","123.00","126.40","124.67","125.5","RMA"
"Singapore Dollar (SGD)","SGD","71.90","73.95","72.88","73.43","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.7","9.77","RMA"
"Swiss Franc (CHF)","CHF","115.05","118.30","116.62","117.44","RMA"
"US Dollar (USD)","USD","93.15","96.05","94.31","94.97","RMA"
