"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.95","67.80","66.85","67.31","RMA"
"Canadian Dollar (CAD)","CAD","67.45","69.30","68.34","68.83","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.74","14.84","RMA"
"OEuro (EURO)","EUR","108.70","111.75","110.18","110.94","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.19","12.28","RMA"
"Japanese Yen 100 (JPY)","JPY","58.70","60.35","59.5","59.92","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.03","10.11","RMA"
"Pound Sterling (GBP)","GBP","126.00","129.45","127.7","128.51","RMA"
"Singapore Dollar (SGD)","SGD","73.15","75.25","74.14","74.69","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.09","RMA"
"Swiss Franc (CHF)","CHF","117.85","121.20","119.43","120.33","RMA"
"US Dollar (USD)","USD","94.35","97.25","95.53","96.19","RMA"
