"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.15","68.00","67.05","67.49","RMA"
"Canadian Dollar (CAD)","CAD","67.75","69.65","68.67","69.16","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.7","14.81","RMA"
"OEuro (EURO)","EUR","108.40","111.40","109.88","110.62","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.15","12.0","12.08","RMA"
"Japanese Yen 100 (JPY)","JPY","58.05","59.70","58.85","59.27","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.05","10.14","RMA"
"Pound Sterling (GBP)","GBP","125.05","128.50","126.76","127.6","RMA"
"Singapore Dollar (SGD)","SGD","72.55","74.65","73.55","74.1","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.14","10.21","RMA"
"Swiss Franc (CHF)","CHF","117.85","121.20","119.45","120.31","RMA"
"US Dollar (USD)","USD","92.85","95.75","94.02","94.67","RMA"
